0.19188E+00 0.26928E-04 0.00000E+01 41591300 0 0 2157552 0.11243E+08 0.00000E+01 0.19188E+00 0.00000E+01 0.00000E+01 0
34 0.19207 0.00078561 0.81804 1.3493 0.19207
35 0.19379 0.0029699 4.3348 234.34 0.19379
36 0.19208 0.00034516 0.71878 1.7486 0.19208
37 0.19265 0.00080749 0.83828 1.6308 0.19265
38 0.1919 0.00051318 0.75637 1.1012 0.1919
39 0.19185 0.00034597 0.72131 1.8246 0.19185
40 0.19116 0.00081598 0.8537 1.7732 0.19116
41 0.1921 0.00051757 0.76205 1.3063 0.1921
42 0.19154 0.0003463 0.72318 0.97304 0.19154
43 0.19251 0.00080695 0.83833 1.3308 0.19251
44 0.19176 0.00051371 0.7577 1.1091 0.19176
45 0.19196 0.00034554 0.72003 1.4477 0.19196
46 0.19211 0.00081207 0.84541 1.6857 0.19211
47 0.19281 0.00051478 0.75516 1.0675 0.19281
48 0.19219 0.00034403 0.716 1.3449 0.19219
49 0.1919 0.0007994 0.83313 1.4099 0.1919
50 0.19156 0.00050853 0.75085 1.2165 0.19156
51 0.19173 0.00034456 0.71884 1.4213 0.19173
52 0.19226 0.00082953 0.86294 1.6226 0.19226
53 0.19162 0.00053068 0.78332 9.4655 0.19162
54 0.19181 0.00034635 0.72226 1.3437 0.19181
55 0.19035 0.00078653 0.8264 1.4189 0.19035
56 0.19123 0.00050968 0.75384 1.2482 0.19123
57 0.19241 0.00034338 0.71385 2.0783 0.19241
58 0.1923 0.00080198 0.83409 1.5853 0.1923
59 0.19256 0.0005136 0.75439 1.1814 0.19256
60 0.19189 0.00034235 0.71366 1.3367 0.19189
61 0.19121 0.00078354 0.81958 1.3972 0.19121
62 0.19233 0.00050663 0.74504 1.0498 0.19233
63 0.19231 0.00034416 0.71583 1.4354 0.19231
64 0.19172 0.00080851 0.84342 1.4206 0.19172
65 0.19132 0.0005148 0.76109 1.1279 0.19132
66 0.19219 0.00034655 0.72127 1.4611 0.19219
67 0.19297 0.00080446 0.83377 1.8139 0.19297
68 0.19193 0.00051615 0.76062 1.7105 0.19193
69 0.19196 0.00034649 0.722 1.7147 0.19196
70 0.19193 0.00051487 0.75877 1.4263 0.19193
71 0.19481 0.0030269 6.215 481.33 0.19481
72 0.1921 0.00023717 0.69841 2.4008 0.1921
73 0.19137 0.0008188 0.85573 1.5035 0.19137
74 0.19259 0.00052194 0.76655 1.1903 0.19259
75 0.19176 0.00034673 0.72325 2.1543 0.19176
76 0.19134 0.00081069 0.84738 1.5536 0.19134
77 0.1917 0.00051327 0.7573 1.1649 0.1917
78 0.19111 0.00034358 0.71913 1.0881 0.19111
79 0.19163 0.00078916 0.82361 1.4556 0.19163
80 0.19246 0.00051173 0.75206 1.5361 0.19246
81 0.19197 0.00034281 0.7143 2.1076 0.19197
82 0.19239 0.0008129 0.84504 1.5205 0.19239
83 0.19124 0.0005121 0.75738 1.0973 0.19124
